h3_polyfill,index,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,geometry,LAT,LONG,opt_tilt
8326cefffffffff,2,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,"POLYGON ((-97.53754006539155 33.471611997402626, -97.05456444962542 33.97861235156145, -97.35139482679675 34.591699254874385, -98.13903068922362 34.69772079897264, -98.62272599746812 34.18804644137447, -98.3181568812816 33.57504490038732, -97.53754006539155 33.471611997402626))",34.08466266,-97.8377306,33
8326eafffffffff,2,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,"POLYGON ((-96.07918187257589 34.97867156983966, -95.58685647554313 35.47147276308672, -95.87710507147547 36.08117782731673, -96.6680060353176 36.19834106591893, -97.1616332535652 35.702998504552724, -96.86314528739004 35.093055453019566, -96.07918187257589 34.97867156983966))",35.58848707,-96.37321477,34
8326c0fffffffff,2,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,"POLYGON ((-98.44545303049377 35.307640466109966, -97.95639818402604 35.81158255687419, -98.26468196778653 36.418021922644364, -99.06992307032374 36.52031233535238, -99.55936122810364 36.01383457923859, -99.24327512809141 35.407621943638, -98.44545303049377 35.307640466109966))",35.91403741,-98.75697238,35
8326c5fffffffff,2,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,"POLYGON ((-97.1616332535652 35.702998504552724, -96.6680060353176 36.19834106591893, -96.96815321456646 36.804750780301475, -97.77015921905974 36.91586846722534, -98.26468196778653 36.418021922644364, -97.95639818402604 35.81158255687419, -97.1616332535652 35.702998504552724))",36.30946044,-97.46535305,35
8326c1fffffffff,2,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,"POLYGON ((-97.35139482679675 34.591699254874385, -96.86314528739004 35.093055453019566, -97.1616332535652 35.702998504552724, -97.95639818402604 35.81158255687419, -98.44545303049377 35.307640466109966, -98.13903068922362 34.69772079897264, -97.35139482679675 34.591699254874385))",35.20165258,-97.65334737,34
832a88fffffffff,3,51,1779803,0400000US51,51,VA,Virginia,0,1.02258E+11,8528531774,"POLYGON ((-79.18663376488544 37.62023900972385, -79.82307511536332 37.281156428549366, -79.7325133981091 36.7104174221686, -79.02121654991561 36.4766926896766, -78.38960204211892 36.80737026208428, -78.46437972241239 37.38008173517523, -79.18663376488544 37.62023900972385))",37.04797866,-79.10286059,34
832a9bfffffffff,3,51,1779803,0400000US51,51,VA,Virginia,0,1.02258E+11,8528531774,"POLYGON ((-83.25051816145493 37.25186558288731, -83.85003233713478 36.894645861993595, -83.78157439026246 36.61292931884438, -83.6828330788421 36.31262990722323, -82.99298425130044 36.123995835616405, -82.39602229976812 36.472582946154155, -82.51730567420641 37.0380908907069, -83.25051816145493 37.25186558288731))",36.68695899,-83.11916708,32
832a8efffffffff,3,51,1779803,0400000US51,51,VA,Virginia,0,1.02258E+11,8528531774,"POLYGON ((-80.01080290275773 38.436980628495995, -80.65177495480032 38.08929821612251, -80.54985392691756 37.51257140742593, -79.82307511536332 37.281156428549366, -79.18663376488544 37.62023900972385, -79.27234864709442 38.19924000150495, -80.01080290275773 38.436980628495995))",37.85861083,-79.91568528,33
832a8cfffffffff,3,51,1779803,0400000US51,51,VA,Virginia,0,1.02258E+11,8528531774,"POLYGON ((-78.61941821988546 38.54000205701096, -79.27234864709442 38.19924000150495, -79.18663376488544 37.62023900972385, -78.46437972241239 37.38008173517523, -77.81678026424703 37.71236360030952, -77.88602859567857 38.29318331754178, -78.61941821988546 38.54000205701096))",37.95955536,-78.54090037,35
832a8afffffffff,3,51,1779803,0400000US51,51,VA,Virginia,0,1.02258E+11,8528531774,"POLYGON ((-80.54985392691756 37.51257140742593, -81.1745279110862 37.167052205290275, -81.06844866997488 36.59871874543619, -80.35312006833854 36.37340642995809, -79.7325133981091 36.7104174221686, -79.82307511536332 37.281156428549366, -80.54985392691756 37.51257140742593))",36.94253169,-80.45018365,34
